微博id,发布者昵称,发布者性别,发布者地区,发布者关注数,发布者粉丝数,content,发布时间,点赞数,转发数,评论数
IrgI6uYDC,南都周刊,男,广东,435,9571462,南都周刊:【最新！汕头：不会限制车辆、船只、人员、物资进出】汕头市新型冠状病毒感染的肺炎疫情防控指挥部26日13时发布最新公告，汕头已经确诊2例新型冠状病毒感染的肺炎病例。为有效切断病毒传播途径，确保人民群众生命安全，自1月26日14时起，全市营运的客车、公交、出租车、轮渡进行消毒，消毒工作完成后继续正常运营。该指挥部同时表示，将加强对流动人员的疫情监测和防控，但不会限制车辆、船只、人员、物资的进出。http://t.cn/A6Pt1uQV 原图 ,2020/1/26 14:31,62,13,21
IrgHIDbEr,山西省人民政府,男,山西,29,141684,山西省人民政府:#新型冠状病毒#【太原公交公司积极部署防控工作】1月23日，太原公交公司紧急召开“关于做好新型冠状病毒感染的肺炎疫情防控工作会议”，会议对做好公司的运营服务、车辆卫生、饮食安全、场站安全、职工健康保护、特殊情况处置等方面都提出了具体要求，为市民春节出行提供安全、快捷、温暖的服务。即日起，梳理排查所有公交车的换气扇、车窗等通风设备，确保工作能够正常开启，司机在行驶过程中将打开通风设备，保障车厢空气流通。（来源：山西日报） 原图 ,2020/1/26 14:30,14,0,0
IrgHIlyBB,花朵财经,男,北京,290,612711,花朵财经:【安徽歙县一小区被医学隔离】1月24日，安徽省启动重大公共卫生事件一级响应，根据《中华人民共和国传染病防治法》等法律法规，为有效切断传播途径，坚决遏制疫情蔓延势头，全力做好全县新型冠状病毒感染的肺炎疫情防控工作，确保人民群众身体健康和生命安全，有关事项公告如下：1、 练江花园5幢3单元住户汪某一家从武汉返乡，家庭成员因发热、咳嗽等症状于1月25日在歙县人民医院发热门诊就诊，现收住县医院感染科进行治疗。2、 为有效切断可能存在的传染源，决定对歙县徽城镇练江花园5幢3单元进行医学隔离。3、 请广大市民自觉遵守疫情防控工作要求，加强个人防护，主动配合卫生健康等部门做好隔离观察和追踪排查工作。4、 请广大市民不造谣、不信谣、不传谣，不要有恐慌心理。防控指挥部会及时、公开向全县人民通告我县防控情况并做好防控工作。 ,2020/1/26 14:30,0,0,1
IrgHI02mD,河南乡村频道,男,河南,285,98034,河南乡村频道:【关于延期举办河南省2020年春季大型公益招聘服务月活动的通知】各有关单位和求职人员：       为全力做好新型冠状病毒感染的肺炎疫情防控工作，坚决防止扩散和蔓延，确保人民群众生命安全和身体健康，河南省人才交流中心原定于2020年2月份在河南人才市场（经二路11号）和中国·中原人力资源产业园区举办的“河南省2020年春季大型公益招聘服务月活动”延期举办，具体时间另行通知，由此给您带来的不便深表歉意。       中国中原人才网www.zyrc.com.cn 将在2月举办2020年河南省春季网络大型公益招聘月活动，提供更多岗位和人才信息，持续为各类人才和用人单位提供免费服务！请大家随时登陆网站进行求职招聘，感谢支持！ 河南省人才交流中心2020年1月26日 原图 ,2020/1/26 14:30,0,0,0
IrgHzbVIz,赢在慧眼,男,山东,590,468,赢在慧眼:三部门发布公告: 全国禁止野生动物交易南南方网12分钟前为严防新型冠状病毒感染的肺炎疫情，阻断可能的传染源和传播途径，市场监管总局、农业农村部、国家林草局决定，自本公告发布之日起至全国疫情解除期间，禁止野生动物交易活动。一、各地饲养繁育野生动物场所实施隔离，严禁野生动物对外扩散和转运贩卖。二、各地农（集）贸市场、超市、餐饮单位、电商平台等经营场所，严禁任何形式的野生动物交易活动。三、社会各界发现违法违规交易野生动物的，可通过12315热线或平台举报。四、各地各相关部门要加强检查，发现有违反本公告规定的，要依法依规严肃查处，对经营者、经营场所分别予以停业整顿、查封，涉嫌犯罪的，移送公安机关。五、消费者要充分认识食用野生动物的健康风险，远离“野味”，健康饮食。市场监管总局农业农村部国家林草局2020年1月26日 ,2020/1/26 14:29,1,0,0
IrgHqyPE3,西乡塘区共青团,男,广西,383,3136,西乡塘区共青团:【#三部门发文禁止野生动物交易#】26日，市场监管总局、农业农村部、国家林草局三部门联合发文：严防新型冠状病毒感染的肺炎疫情，阻断可能的传染源和传播途径，市场监管总局、农业农村部、国家林草局决定，自本公告发布之日起至全国疫情解除期间，禁止野生动物交易活动。http://t.cn/A6Pt1rfi via：人民日报 原图 ,2020/1/26 14:29,1,0,0
IrgHpEzWL,FM988浙江新闻,男,浙江,374,12477,FM988浙江新闻:【擅自提高口罩价格将受重罚！温州一药店被查处】受新型冠状病毒肺炎疫情影响，近日部分与预防疫情相关的口罩等医疗用品还出现价格上涨与脱销的情形。温州市鹿城区市场监督管理局接到群众举报，鹿城区矮凳桥一家药房将原售价10元/包的一次性无纺布口罩提高为20元/包，共销售了10包，销售收入200元。目前，该事件正在进一步调查处置中。为维护市场价格秩序，保护消费者合法权益，温州市市场监督管理局特向各相关经营单位发布提醒告诫书，明确表示，疫情防控期间，各相关经营者如有不正当价格行为，情节严重或社会影响较大的，一律按照《价格违法行为行政处罚规定》第十七条第二款的规定，从重处罚；严重扰乱市场秩序，构成犯罪的，依法追究刑事责任。 原图 ,2020/1/26 14:29,0,0,0
IrgHjey6D,延安高交大队,女,陕西,706,6271,延安高交大队:1.26日中午，延安市公安局交警支队高速公路大队政委强金奎到大队直罗中队陕甘省站督导检查疫情防控、春运和路面除雪保畅工作。        强政委要求，当前疫情防控形势严峻，全体民警要提高政治站位，科学合理安排勤务，认真贯彻落实《支队应对新型冠状病毒感染肺炎疫情防控工作方案》精神，做好本职工作，配合卫生部门做好疫情防控，确保社会大局稳定。       强政委强调，春运期间，民警一定要做好自身的安全防护工作，加大对7座以上客运车辆和危货车的监督检查，全力保障各项工作顺利开展。受降雪影响，高速公路部分弯道、隧道口、桥梁仍有积雪，各中队要加大除雪力度，确保危险路段积雪及时清理，保证群众出行平安。 http://t.cn/R2WxgO8 显示地图 [组图共5张] 原图 ,2020/1/26 14:29,2,0,0
IrgHh7G3R,北京商报,男,北京,459,2557195,北京商报:【北京市卫健委权威解读丨个人防护新型冠状病毒肺炎最关键的7个问题】随着疫情逐步变化，个人如何防护新型冠状病毒肺炎、避免感染，民众最期待的还是权威渠道提供的应对之策。就此，1月26日，北京市卫健委组织地坛医院感染中心主任医师陈志海、市疾控中心免疫预防所所长、主任医师吴疆，全面地解答了目前人们最关心的多个关键问题。到底如何区分普通感冒与新型冠状病毒肺炎？感染后在家自我隔离靠不靠谱？在下文中，这些都已给出了明确的答案。 http://t.cn/A6PtrIIJ ,2020/1/26 14:28,1,7,2
IrgHfBEmH,高陵融媒,女,其他,90,9708,高陵融媒:【耿镇街道扎实做好辖区疫情防治工作，一是发挥党员领导干部先锋作用，以身作则。二是做好辖区排查工作。各村工作站逐户排查，对人员信息登记造册。三是严格落实好管控工作。各村在主要路口设置管控关卡，对外来车辆和人员进行逐一排查，严格控制外来车辆和人员入村。四是抓好辖区消毒工作。对辖区公共场所、设施，实行一天多次的消毒工作。五是及时处理应急工作。一旦发现体温异常人员及时做好相关处理工作。】#联防联控   高陵在行动# [组图共6张] 原图 ,2020/1/26 14:28,3,4,0
IrgGXlD3i,雯静儿YWJ,女,内蒙古,279,72,雯静儿YWJ:异地恋听到最甜的话了，你是我超级想见到的人啊，疫情结束就可以见了。 张家口  显示地图 原图 ,2020/1/26 14:28,2,0,1
IrgGH48cX,青岛发布,男,山东,1149,3922925,青岛发布:【市委市直机关工委发出《致市直机关党员干部职工的倡议书》】日前，市委市直机关工委发布《疫情就是命令 防控就是责任——致市直机关党员干部职工的倡议书》。《倡议书》指出，鉴于当前新型冠状病毒感染肺炎疫情的严峻性，党中央成立应对疫情防控工作领导小组，山东省已启动重大突发公共卫生事件一级响应，坚决遏制疫情传播扩散蔓延势头，全力保障人民群众生命安全和身体健康。希望市直机关全体党员干部职工立即进入战斗状态，打一场新型冠状病毒感染的肺炎疫情防控“人民战争”。为此，特发出如下倡议：1、坚定打赢信心。不听谣、不信谣、不传谣，不转发非官方公开发布信息。坚信在党中央、山东省委、青岛市委的领导下，只要坚定信心、同舟共济、科学防治、精准施策，我们就一定能打赢这场疫情防控阻击战！2、进入战斗状态。迅速行动，积极支持、自觉配合各级各部门的防控工作，人人参与、联防联控，努力做到早发现、早报告、早诊断、早隔离、早治疗。3、加强自我防护，积极配合诊治。按照《青岛市卫生健康委员会致青岛市广大市民朋友的一封信》有关要求，加强自我防护，积极配合诊治。4、避免或减少集会。尽量减少聚会和集体活动，避免到人群密集场所活动，避免近距离面对面交流。值此新春佳节之际，市委市直机关工委祝大家春节愉快，身体健康，家庭幸福！（来源：“青岛观”客户端） 原图 ,2020/1/26 14:27,12,6,44
IrgGGvUGf,福安新闻网,男,福建,1655,17174,福安新闻网:福安市新型冠状病毒感染的肺炎疫情防控指挥部令 第3号 为有效切断病毒传播途径，坚决遏制疫情蔓延势头，确保人民群众生命安全和身体健康，现下达如下命令：一、自2020年1月26日中午12时起，福安市全部公交线路暂停运营。二、福安市农村客运、旅游及包车客运暂停运营。三、严禁出租车、网约车驶出福安市辖区，车辆严格落实清洁消毒制度，驾驶员必须佩戴口罩，严禁载运未佩戴口罩的乘客并做好乘客来路问询登记工作。具体恢复时间另行通知。 福安市新型冠状病毒感染的肺炎疫情防控指挥部2020年1月26日 http://t.cn/A6PtrAP5 ,2020/1/26 14:27,12,6,15
IrgGC3eul,沈阳沈北公安,男,辽宁,518,104022,沈阳沈北公安:#春晚# 【#如何劝爸妈重视疫情# 歌曲《爸爸妈妈》】#李荣浩王俊凯合唱# @李荣浩 、@于毅yan  @TFBOYS-王俊凯 带来催泪合唱《爸爸妈妈》：“不算太小的房，冬暖夏凉的那间放着我的床”。2019年已经过去，崭新的2020年即将到来，在歌声中，和爸爸妈妈一起迎接新年，同时，别忘了提醒爸爸妈妈，一定要戴口罩，不串门！！   http://t.cn/A6P4j1ed  ,2020/1/26 14:27,20,0,0
IrgGBsqqT,一碗小美好暖心麻辣烫恩施民大店,女,湖北,212,73,一碗小美好暖心麻辣烫恩施民大店:【疫情防控！注意食品安全！】1. 处理生食和熟食的切菜板及刀具要分开并及时清洗，避免交叉污染。2. 处理生食和熟食之间要洗手。3. 要从正规渠道购买冰鲜禽肉，食用禽肉蛋奶时要充分煮熟。即使在发生疫情的地区，如果肉食在食品制备过程中予以彻底烹饪和妥善处理，也可安全食用。4. 尽量避免密切接触家禽和野生动物及其排泄物、分泌物，避免与生病的动物和变质的肉接触。不屠宰或食用病、死禽畜或野生动物。不去可能交易野生动物或者活禽的农贸市场采购。5. 如果到生鲜市场采购，在接触动物或动物产品后，避免用手触摸眼、鼻、口，要用肥皂和清水彻底洗手。避免与市场里的流浪动物、垃圾废水接触。 http://t.cn/Aisp4azU 显示地图 [组图共4张] 原图 ,2020/1/26 14:27,0,0,0
IrhGA3cMP,·assertive,女,其他,69,25,·assertive:李锦斌在疫情防控工作调度汇报会上强调：坚决扛起疫情防控政治责任 坚决打赢疫情防控的阻击战 李锦斌在疫情防控工作调度汇报会上强调：坚决扛起疫情防控政治责任 坚决打赢疫情防控的阻击战  原图 ,2020/1/26 16:59,0,0,0
IrhGA1klc,网信镇平,男,河南,77,473,"网信镇平:打赢#坚决打赢疫情防控阻击战# #战胜疫情# 防控阻击战 | ""党员必须冲在前面""  打赢疫情防控阻击战 | &quot;党员必须冲在前面&quot;  ",2020/1/26 16:59,0,0,0
IrhGA42mg,为一个你吖,男,安徽,601,151,为一个你吖:#肖战经典咏流传##肖战 千年一声唱# 关注疫情，少出门瞎逛，肖战在家陪。今晚八点，cctv1，不见不散  原图 ,2020/1/26 16:59,0,0,0
IrhGA43jO,沈念也,女,北京,99,49,沈念也:还有几天就要返京上班了，还买不到口罩。祈祷能推迟上班时间，疫情早日控制。保佑前线的工作人员和科研人员  [组图共2张] 原图 ,2020/1/26 16:59,1,0,0
IrhGA4QAD,RRR野心,女,云南,689,76,RRR野心:#与思源一起驰援湖北疫情#与爱同路，让爱回家。我在“一份爱心一份力量，共抗疫情”项目捐款成功！愿我和@Dear迪丽热巴后援会 一起放大爱的力量！@中华思源工程扶贫基金会 一份爱心一份力量，共抗疫情  ,2020/1/26 16:59,0,0,0
IrhGzslMe,浪郎哥,男,四川,1009,123376,浪郎哥:这疫情，让我也难得有13年前一样的时间在老家过年，给大家欣赏一下我的老家，与我少年时代的爱好（世界军事）部分上墙的图画，16年来父亲也未曾给我撕掉，还有一张19年前的高中照片（有汪总哦）  [组图共9张] 原图 ,2020/1/26 16:59,1,0,0
IrhGzrwIt,小栗子DAYTOY,女,四川,101,1061,小栗子DAYTOY:#肖战 千年一声唱#每天关注着疫情，心一直纠着。还好可以看看战战，缓解一下压抑的心绪。祈福武汉，不出门添乱，过年期间就乖乖呆家里看肖战。@X玖少年团肖战DAYTOY  [组图共3张] 原图 ,2020/1/26 16:59,1,0,0
IrhGzpCzp,一只林小橘,女,山东,200,1300,一只林小橘:#周深[超话]#✨#不再流浪-卡布叻_周深[音乐]#刷着疫情现状，听周深的歌觉得声音让人心安武汉加油中国加油  原图 ,2020/1/26 16:59,4,0,0
IrhGzpDGQ,-林涧露-,女,陕西,1,1,-林涧露-:今年过了一个轻松的年，由于疫情影响，并没有走亲戚或者亲戚走我们，挺好的。  ,2020/1/26 16:59,0,0,0
IrhGzbv9g,寒露菇凉,女,山东,1036,227,寒露菇凉:#与思源一起驰援湖北疫情#我在“一份爱心一份力量，共抗疫情”项目捐款成功！希望我小小的力量和@王一博公益站 一起，在大大的世界里温暖更多人。@中华思源工程扶贫基金会 一份爱心一份力量，共抗疫情  ,2020/1/26 16:59,0,0,0
IrhGyyb2T,大连好,男,辽宁,6983,218606,大连好:#疫情解除前全国禁止野生动物交易# 就算是疫情解除之后，也应该禁止野生动物交易。全国禁止野生动物交易，这个是没有时间限制的，而应该是长期的永久的。  原图 ,2020/1/26 16:59,1,0,0
IrhGyyaoQ,西城bta,女,河南,216,152,西城bta:疫情都拦不住大家催我找对象结婚的气势今年已经在全家面前立了flag2020一定找到对象话一说我就怂了不过提上日程是认真的 信阳·固始县  显示地图 原图 ,2020/1/26 16:59,2,0,6
IrhGyyaoQ,西城bta,女,河南,216,152,西城bta:疫情都拦不住大家催我找对象结婚的气势今年已经在全家面前立了flag2020一定找到对象话一说我就怂了不过提上日程是认真的 信阳·固始县  显示地图 原图 ,2020/1/26 16:59,2,0,6
IrhGyeF0S,小市街道线路新村社区,男,江苏,537,865,小市街道线路新村社区:面对疫情，社区人在行动#社区#  原图 ,2020/1/26 16:59,0,0,0
IrhGv3Wn7,我的时光深巷,男,重庆,130,259,我的时光深巷:祝愿亲爱的祖国挺过这次疫情，一切恢复正常，早日回归正常生活。 瑞丽市  显示地图 原图 ,2020/1/26 16:59,0,0,0
IrhGqBbqg,川西监狱,女,四川,537,6321,川西监狱:【受疫情影响 #冬运会推迟举办#】第十四届全国冬季运动会组委会26日宣布，接国家体育总局通知，“十四冬”将推迟举行，具体事宜待相关部门批复后另行通知。根据原计划，第十四届全国冬季运动会女子冰球和冬季两项比赛将于2月1日开始分别在内蒙古呼伦贝尔市海拉尔和牙克石举行，十四冬开幕式则将于2月16日在海拉尔举行，26日举行闭幕式。除海拉尔和牙克石外，十四冬其他赛区还包括呼伦贝尔扎兰屯、赤峰等地。 ,2020/1/26 16:59,0,0,0
IrhuXB1DF,是小成成啊C,女,河南,109,151,是小成成啊C:抖音都在发  “等疫情结束  你是我第一个要见的人”  可我知道  就算疫情结束  我们也不能想见就可以见到  计划好的都要泡汤了  安全最重要 焦作·博爱县  显示地图 原图 ,2020/1/26 16:31,0,0,0
Irhq8hbQy,树树请你来吃茶,女,山西,129,166,树树请你来吃茶:#与思源一起驰援湖北疫情# 我在“一份爱心一份力量，共抗疫情”项目捐款成功！希望我小小的力量和@五月天微吧 一起，在大大的世界里温暖更多人。@中华思源工程扶贫基金会 一份爱心一份力量，共抗疫情  ,2020/1/26 16:19,2,0,0
IrhpVjtSr,石家庄学院理学院共青团,男,河北,383,2914,石家庄学院理学院共青团:#扬帆万理##正月十五前武汉疫情可能出现拐点#武汉大学中南医院感染科教授桂希恩：预计正月十五前武汉疫情可能出现拐点。@石家庄学院共青团 @石家庄学院计算机系共青团 @石家庄学院经管系共青团 @石家庄学院历史文化系共青团 via.人民日报 人民日报的微博视频  ,2020/1/26 16:18,2,0,0
IrhoDwU03,我什么都可以做到_,女,湖北,38,818,我什么都可以做到_:哪里都没有我浙江好！浙江一定会非常非常好的，一定会挺过这次疫情的！  ,2020/1/26 16:15,0,0,0
IrhnXvOF8,眉山网,男,四川,1533,169374,眉山网:#眉山新闻# 【仁寿：干部入户宣传忙 严防疫情扩散】“嬢嬢，这里有一份疫情防护指南，你要认真看哈。”“尽量不出门、出门戴口罩、平常勤洗手....”“如果您近期有去过武汉，或者与武汉来的人有密切接触，要及时跟我们反映哈...”1月26日，记者来到仁寿县各大乡镇，看到当地的村镇干部正通过大喇叭循环播放、发放传单等进行向村民宣传讲解防范疫情措施。疫情就是命令，防控就是责任。据了解，为防止疫情扩散，连日来，仁寿县的4200名乡镇干部放弃节假日，积极参与到新型冠状病毒感染肺炎宣传防控工作中，使新型冠状病毒感染肺炎防控知识不漏一人，实现全覆盖。 原图 ,2020/1/26 16:14,3,0,2
IrhnWkPWq,浦江文明生活,男,浙江,715,125759,浦江文明生活:#网络述年# 【关于浦江跨县班线暂停运营的公告】 为全力做好新型冠状病毒感染的肺炎疫情防控工作，有效切断病毒传播途径，控制和遏制疫情发展，保障市民和乘客的健康安全，根据对开方要求，我公司所有长途班线（除萧山机场班线）、城际公交（义乌火车站、义乌旅游集散中心、兰溪）1月27日起全部暂停运营，C906路郑家坞—大陈1月26日16点起暂停运营，恢复时间另行通知。已购票的乘客请尽快通过原购买渠道办理退票手续，给您带来不便，敬请谅解！ http://t.cn/R2WxOIa 显示地图 原图 ,2020/1/26 16:14,3,0,2
IrhnIuJDg,中国搜索,男,北京,1385,2641014,中国搜索:#新型冠状病毒感染肺炎#【国家卫健委主任：疫情还要持续一段时间 防控措施会陆续发挥作用】国家卫生健康委员会主任马晓伟在26日举行的国新办发布会上说，新型冠状病毒潜伏期在十天左右，最短1天，最长约14天。潜伏期具有传染性，这与SARS有很大不同。疫情发展速度加快，现在来看，疫情恐怕还要持续一段时间，今后一段时间内可能出现病例增长。随着武汉采取人员管控措施以及全国各地启动突发公共卫生事件一级响应，防控工作力度会进一步加强。在一段时间内，防控措施会陆续发挥作用，产生效果。（新华视点） 原图 ,2020/1/26 16:13,4,2,1
IrhnwncKm,kissy如吻经销商-桔仔工作室,女,香港,819,1094,"kissy如吻经销商-桔仔工作室:新春佳节, 全国上下遇到新型肺炎疫情的袭击，大家时刻关心祖国同胞们的安全和健康问题，也希望为疫区的同胞们尽一份关怀和爱心。疫区缺医疗物资，𝐾𝐼𝑆𝑆𝑌💋如吻公司这两天不懈努力寻找渠道对接物资，但都不理想。最后公司决定用捐款的方式支援疫区！在疫情面前，我们一定要众志成城克服一切困难。相信国家，相信专家团队，必胜疫情！！#kissy如吻科技内衣##kissy如吻# http://t.cn/R2WiWdb 显示地图 原图 ",2020/1/26 16:13,1,0,0
IrhntrAtY,能量中国官方,男,北京,2018,3495803,能量中国官方:#能量偶像##能量榜样团体##能量湖北##刘韦辰 #一方有难，八方支援。携手众人的力量，我们一定打赢这场病毒战役！此次募捐所获款项共计3415元整，@chen_tail劉韋辰個人站 代表刘韦辰粉丝，代表所有爱心人士，与@能量中国官方、@湖北省慈善总会 携手，希望绵薄之力，能给一线医护人员多一分保障。相关物资明细:1.一次性医用口罩1000只；2.防护镜30个；3.防护服20套。向每一位爱心人士表达谢意，向每位逆行者致敬！愿每一位坚持在一线的工作人员平安健康，愿疫情早日被控制。武汉加油❤中国加油❤ [组图共3张] 原图 ,2020/1/26 16:12,62,10,19
IrhmZzWRe,梨重庆,女,重庆,591,244805,"梨重庆:【女孩从重庆回河南过节,河南姥姥录视频:不要来给我拜年】2020年1月25日，河南省商丘市长岗镇。86岁的张姥姥得知当下疫情严重，主动录视频到微信群要求过年这几天大家不要来给她拜年。随后家人们在微信群里打了一通视频电话给老人家拜年。@梨视频 @一手Video @人人爱重庆 @新浪重庆 @新浪河南 http://t.cn/A6Pc2jou ",2020/1/26 16:11,13,0,2
IrhmZfbLe,东川警方,男,云南,1642,21212,东川警方:@云南警方 @昆明警方发布 按照云南省公安厅、市公安局关于防范新型冠状病毒疫情的工作要求，东川区公安局充分认识开展疫情防控工作的重要性和迫切性，全面统一思想，提高认识，坚决扛起政治责任，全力服务大局，春节期间严格落实勤务等级要求，全面动员，严格安排部署，坚决配合好卫生部门开展好疫情防控工作。生命重于泰山，疫情就是命令，防控就是责任。连日来，结合春节期间安保工作，按照“严控外源、严查内源”的工作要求，东川区公安局在东川南收费站、太阳谷、格勒等地设置卡点，民警配合医护人员对过往行人及车辆进行严格检测，守好安全线。同时，强化内部安全防护工作，做好执勤民警的自身防护工作，织密疫情防护网，坚决维护安定有序的社会治安环境。 [组图共9张] 原图 ,2020/1/26 16:11,6,0,1
IrhmY5E5i,砣倪堂,女,北京,666,49047,砣倪堂:可见之处，有人在伟大逆行，尽力守护。不可见之处，华夏祖神在积极对抗疫情，力挽狂澜，护华夏安宁。  天无恩。天道是自然规律和法则，顺者昌，逆者亡。人们从错误中吸取教训，后知后觉，更新观念，曲折进步。 这次疫情几个关键词：*野生动物：万物有灵。野生动物有修为者众，能量大。人们不承认或不愿相信动物有灵，地球之上唯我独尊，肆意捕杀满足己欲，破坏能量平衡，必然受到反噬。哪怕是在科技发达的2020年，也打得我们措手不及。 *火神山医院/雷神山医院：医院名称很有讲究，现代的医疗设备和人员，名称却向自然能量致敬。本次病毒极阴，需大自然火雷神明力量加持，阳制衡阴，对医疗发挥作用有利。 *各地寺庙道观宗教活动暂停：防控疫情传播。侧面可看出，这种停留在表层的笼统的祈福消灾仪式，真正解决困境的作用非常有限。不深入具体事件背后因果关键点，不深入个人具体因由的传统的诵经烧香发愿，也是盲目迷信的范畴。 原图 ,2020/1/26 16:11,3,0,0
IrhmXwCPy,广州黄埔发布,男,广东,210,55342,广州黄埔发布:【李希、马兴瑞向奋战在疫情防控一线的医务工作者发慰问信】1月25日，广东省委书记李希、省长马兴瑞向全省奋战在疫情防控一线和支援湖北疫情防控的医务工作者发出慰问信。全省奋战在新型冠状病毒感染的肺炎疫情防控一线的医务工作者和支援湖北疫情防控的医护人员：新春佳节，正当万家团圆、欢度节日之际，你们肩负白衣天使救死扶伤神圣使命，坚守岗位、忘我工作、无私奉献，为广东有效防控疫情和驰援兄弟省担当尽责，为人民群众生命安全和身体健康作出重大贡献，我们谨代表中共广东省委、广东省人民政府，代表全省人民，向你们致以新春的诚挚问候和崇高敬意！向默默支持你们的家人、亲友致以衷心的感谢！http://t.cn/A6PtOkP0 ,2020/1/26 16:11,1,0,0
IrhmWlC7c,品玩,男,海外,798,1046587,品玩:【北京是否将全面限制交通？交通运输部：会保持顺畅出行】国新办1月26日就新型冠状病毒肺炎疫情防控举行发布会。交通运输部副部长刘小明表示，北京是我国交通最发达城市，公路铁路民航，日常运输中，通过公路运输出行3万至5万，民航出行30万，铁路出行50到60万。公路暂缓恢复对北京没有太大影响，保持和国际、国内良好顺畅的出行。（新京报） ,2020/1/26 16:11,4,0,0
IrhmV7YuS,石景山区苹果园社区卫生服务中心,女,北京,48,110,石景山区苹果园社区卫生服务中心:@“首都健康”#首都除夕护卫健康#@北京市社区卫生服务管理中心@北京大学首钢医院                                                           医者责任       随着鼠年春节的到来，全国新型冠状病毒感染的肺炎疫情形势严峻，作为苹果园社区卫生服务中心的医务人员倍感责任重大，每一位医护人员主动放弃节日休假，积极参与到疫情防控中来。      妇女保健科的宣医生前脚刚踏入远在宁夏老家的父母家门，看到新闻中的各种有关新型冠状病毒感染的肺炎疫情报道，着急的她频频给中心主任发信息，了解目前苹果园辖区的人员情况。在家人不知情的情况下购买了返京机票，告别了年迈的父母，毅然赶回北京加入到社区防控工作中。      为了防止病源扩散，一切为了辖区居民的身体健康，苹果园中心全面开展发热筛查和健康监测。儿童保健科、全科、中医科、健康小屋、药房等等苹果园中心的医务人员们主动放弃陪伴家人，积极按照防控要求为辖区居民做好医疗服务保障和健康监测。社区医务工作者就是要做居民的定盘星、守门人，倾尽全力护佑百姓健康。                                                                  苹果园社区卫生服务中心                                                                           李春明                                                                      2020.01.26 [组图共2张] 原图 ,2020/1/26 16:11,1,0,0
IrhmTmK2A,曲靖检察,男,云南,2603,223306,曲靖检察:【#一句我爱你成最戳心的壮行#！】今天下午，河南137人医疗队将从郑州驰援武汉。首批医疗队由河南大学淮河医院、郑州大学第二附属医院、郑州大学第五附属医院、河南中医药大学第一附属医院等医院组成。在送行现场，一位男士的“我爱你”让人潸然泪下。致敬逆行，愿你们平安归来！http://t.cn/A6PtN2dg  http://t.cn/RxkSJiG 显示地图 ,2020/1/26 16:11,2,0,0
IrhmSuzdO,潍坊晚报,男,山东,810,639325,潍坊晚报:#潍坊全民总动员，坚决打赢防疫攻坚战# 【潍坊市人民医院致潍坊市民的倡议书】                          潍坊市人民医院致潍坊市民的倡议书        依据《山东省突发公共卫生事件应急预案》，经省政府研究决定：山东省启动重大突发公共卫生事件I级响应，落实防控责任，实行最严格的科学防控措施，第一时间摸排、发现、严控传染源，阻断潜在的传播途径，遏制疫情传播扩散蔓延的势头。      防控新型冠状病毒感染的肺炎进入关键阶段。      潍坊市人民医院成立新型冠状病毒感染的肺炎防控工作领导小组，下设综合协调组、医疗救治组、预检分诊组、后勤保障组等10个工作组及防控专家组，履行职责。医院设置专人对到院患者及家属进行体温逐人检测，全体员工取消休假，积极应对。现在，我们希望看到这篇文章的市民，近期内——1.不是紧急情况暂时不要来医院，不要来医院探视患者；2.住院患者，仅留一位家属陪护，做好防护措施；3.不串门、不聚餐，勤洗手、强防护，不信谣、不传谣；4.若出现乏力、发热、干咳等呼吸道症状，请戴上口罩到就近的医疗救治定点医院就医，早发现、早报告、早隔离、早诊断、早治疗。我们希望来自武汉的朋友或到过武汉的市民，近期内——1.记录相关信息：您抵达潍坊后的14日内，每日的大致活动范围和接触人员范围。同时，帮助随行的老人、未成年人或读写障碍人士做好上述记录。2.取消聚会和集体活动。自觉佩戴口罩，尽量避免近距离与人面对面交谈。3.保持住所通风良好，注意休息，加强营养，增强体质。4.密切关注自己和同行或近期接触人员的健康状况：（1）离开武汉的14天内，如您和同行或近期接触人员出现发热、咳嗽等呼吸道症状，请您马上到潍坊市医疗救治定点医院就诊，并主动告知医务人员旅行史；（2）前往医院过程中，请您和陪同人员务必佩戴好口罩；（3）到达医院后，马上前往发热门诊，告知医护人员自己的旅行经历和症状，并听从医护人员指引就诊。                                                      潍坊市人民医院                                                       2020年1月26日                                  我们必将全力以赴                                  与全市人民一起                                  守护我们的城市！ ,2020/1/26 16:11,3,5,0
IrhmPxWhG,观察者网,男,上海,1243,15468186,观察者网:#新型肺炎潜伏期最短1天# 【新型冠状病毒潜伏期最短1天最长14天，潜伏期也具有传染性】国家卫健委主任马晓伟表示，新型冠状病毒在潜伏期具有传染性，这同非典有很大的不同。疫情预计还会持续一段时间。马晓伟表示，根据非典时期的经验，从发现到爆发流行经过三到四个月的时间，初期的有些轻症病人从观察情况来看，潜伏期大约在10天左右，最短的潜伏期为一天发病，最长的潜伏期是14天，潜伏期具有传染性，这同非典有很大的不同。#新型肺炎最长的潜伏期14天# @央视新闻 #新型肺炎潜伏期具有传染性# http://t.cn/A6PcwS0b ,2020/1/26 16:11,571,75,65
